Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
2014,12.259,7.219,2309.37,13228200000,4578.67,60.1,8.9,77.813,105.442,17.49
2013,12.257,7.096,2533.25,12776300000,4413.08,57.2,9.5,77.554,105.66,15.866
2012,12.197,6.996,2118.33,12319800000,4247.61,54.656,10.2,77.252,105.854,13.376
2011,12.1,6.915,2205.7,12890900000,4437.18,49,11,76.914,106.029,13.481
2010,12.001,6.841,1943.34,11927000000,4094.36,45,11.9,76.562,106.315,14.086
2009,11.945,6.756,1835.68,12044200000,4114.13,41.2,12.9,76.221,106.844,13.674
2008,11.973,6.65,1617.74,12881400000,4370.54,23.86,13.9,75.912,107.566,13.06
2007,12.118,6.518,1213.12,10677300000,3595.04,15.0361,14.9,75.646,108.395,15.966
2006,12.398,6.365,1218.36,8896070000,2972.74,9.60999,16,75.423,109.217,16.394
2005,12.821,6.206,1722.07,8052080000,2673.79,6.04389,17.1,75.228,109.908,16.874
2004,13.381,6.061,1797.53,7184680000,2373.58,2.42039,18.3,75.039,110.472,17.272
2003,14.048,5.952,1469.26,5611490000,1846.12,0.9719,19.4,74.828,110.935,17.496
2002,14.79,5.891,1578.17,4348070000,1425.12,0.390081,20.6,74.579,111.351,17.51
2001,15.59,5.879,1351.23,3922100000,1281.66,0.325798,21.8,74.288,111.685,17.411
2000,16.436,5.914,1449.65,3480360000,1126.68,0.114097,23,73.955,112.738,17.767
1999,17.321,5.983,1414.7,3212120000,1033.24,0.081437,24.2,73.587,113.459,18.569
1998,18.238,6.067,734.85,2545970000,813.79,0.0650274,25.4,73.208,114.18,18.323
1997,19.173,6.147,694.665,2258520000,717.381,0.0485939,26.7,72.838,114.901,18.311
1996,20.106,6.213,904.347,3199640000,1009.98,0.0321968,27.9,72.495,115.622,18.358
1995,21.02,6.25,663.784,2392760000,750.604,0.0111687,29.1,72.205,116.342,17.607
